"","GAGE_ID","COMID","startDT","endDT"
"207","USGS-13010065","23123539","1990-08-15","2010-08-15"
"208","USGS-13011000","23123437","1990-08-15","2019-09-02"
"209","USGS-13011500","23123373","1990-08-09","2020-08-19"
"210","USGS-13148500","23266994","1997-08-16","2017-08-16"
"211","USGS-13239000","24177467","1984-08-02","2017-07-06"
"212","USGS-13306385","23503302","1990-07-10","2010-07-10"
"213","USGS-13306500","23503080","1990-07-10","2021-08-25"
"214","USGS-13308500","23519453","1988-08-23","2020-08-20"
"215","USGS-13310700","23551284","1984-08-08","2017-07-17"
"216","USGS-13313000","23551584","1984-08-08","2017-07-17"
"217","USGS-14017000","23638208","1995-08-05","2020-08-26"
"218","USGS-14037500","23822637","1986-07-26","2006-07-26"
"219","USGS-14075000","23700309","2000-08-02","2020-08-02"
"220","USGS-14088000","23700239","1992-07-23","2021-08-28"
"221","USGS-14090350","23700171","1986-07-08","2017-07-12"
"222","USGS-14090400","23700121","1994-10-18","2017-07-12"
"223","USGS-14091500","23700105","1986-07-08","2021-08-28"
"224","USGS-14092750","23719653","1991-08-12","2017-07-12"
"225","USGS-14092885","23719633","1986-08-10","2021-08-24"
"226","USGS-14093000","23719623","1984-07-25","2021-08-24"
"227","USGS-14096300","23719531","1991-08-12","2020-08-19"
"228","USGS-14179000","23780701","2000-08-19","2020-08-19"
"229","USGS-14181500","23780511","1993-08-19","2020-08-19"
"230","USGS-14181900","23780851","2001-08-26","2021-08-26"
"231","USGS-14182500","23780805","2001-08-26","2021-08-26"
"232","USGS-14183000","23780481","1993-08-19","2021-08-26"
"233","USGS-14184100","23780883","1993-08-19","2021-08-26"
"234","USGS-14316495","23894558","1986-08-13","2018-08-17"
"235","USGS-14333500","23923600","1998-08-16","2018-08-16"
"236","USGS-14337800","23923890","1992-07-13","2012-07-13"
"237","USGS-14338000","23923878","1992-07-13","2012-07-13"
"238","USGS-14375500","23945177","1992-07-13","2012-07-13"
"239","USGS-14378200","23944933","1984-07-21","2020-08-13"
"240","USGS-14400000","23949601","1992-07-13","2012-07-13"
